Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
165,Constellation Energy,,Energy,Energy,yes,-3,no,yes,,no,no,no,13842,58250.1,24918,2,1623,,50758,Public,58250
166,Hartford Financial Services Group,,Financials,Insurance: Property and Casualty (Stock),yes,8,yes,no,,no,no,no,18700,30636.6,24527,9.7,2504,38,76780,Public,30637
167,PG&E,,Energy,Utilities: Gas and Electric,yes,13,yes,no,,no,no,no,28010,35759.5,24428,12.7,2242,24.6,125698,Public,35760
168,Coupang,,Retailing,Internet Services and Retailing,yes,27,yes,no,,no,no,no,78000,31903.1,24383,18.5,1360,,13346,Public,31903
169,EOG Resources,,Energy,"Mining, Crude-Oil Production",yes,-13,no,yes,,no,no,no,3050,73535.6,24186,-5.9,7594,-2.1,43857,Public,73536
170,Union Pacific,,Transportation,Railroads,yes,-11,no,yes,,no,yes,no,32973,150041,24119,-3,6379,-8.8,67132,Public,150041
171,Rite Aid,,Food & Drug Stores,Food & Drug Stores,no,-10,no,yes,,no,no,no,47000,9,24091.9,-1.9,-749.9,,7527.4,Public,9
172,Macy's,,Retailing,General Merchandisers,yes,-14,no,yes,,no,no,no,85581,5482.7,23866,-5.7,105,-91.1,16246,Public,5483
173,Marriott International,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,19,yes,no,,no,yes,yes,148000,72730.7,23713,14.2,3083,30.7,25674,Public,72731
174,Lear,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,15,yes,no,,no,yes,no,186600,8263.1,23466.9,12.3,572.5,74.7,14695.5,Public,8263
175,Genuine Parts,,Wholesalers,Wholesalers: Diversified,yes,4,yes,no,,no,no,no,60000,21600.9,23090.6,4.5,1316.5,11.3,17968.5,Public,21601
176,Sherwin-Williams,,Chemicals,Chemicals,yes,2,yes,no,,no,yes,no,64088,88255.4,23051.9,4.1,2388.8,18.3,22954.4,Public,88255
177,Halliburton,,Energy,"Oil and Gas Equipment, Services",yes,20,yes,no,,no,no,no,48000,35087.8,23018,13.4,2638,67.8,24683,Public,35088
178,Freeport-McMoRan,,Energy,"Mining, Crude-Oil Production",yes,-7,no,yes,,no,no,no,27200,67445.9,22855,0.3,1848,-46.7,52506,Public,67446
179,Live Nation Entertainment,,Media,Entertainment,yes,69,yes,no,,no,yes,no,23200,24411.5,22749.1,36.4,563.3,90.3,19074,Public,24412
180,Marsh & McLennan,,Financials,Diversified Financials,yes,13,yes,no,,no,yes,no,85000,101657.8,22736,9.7,3756,23.1,48030,Public,101658
181,Advanced Micro Devices,,Technology,Semiconductors and Other Electronic Components,yes,-14,no,yes,,no,yes,no,26000,291697.1,22680,-3.9,854,-35.3,67885,Public,291697
182,First Citizens BancShares,,Financials,Commercial Banks,yes,420,yes,no,,no,no,no,15868,23620.4,22466,304.9,11466,944.3,213758,Public,23620
183,WESCO International,,Wholesalers,Wholesalers: Diversified,yes,-2,no,yes,,no,yes,no,20000,8727.3,22385.2,4.5,765.5,-11,15060.9,Public,8727
184,Carrier Global,,Industrials,Industrial Machinery,yes,12,yes,no,,no,yes,no,53000,52323,22098,8.2,1349,-61.8,32822,Public,52323
185,Cleveland-Cliffs,,Materials,Metals,yes,-15,no,yes,,no,no,no,28000,11331.1,21996,-4.3,399,-70.1,17537,Public,11331
186,Block,,Business Services,Financial Data Services,yes,48,yes,no,,no,yes,no,12985,52075.3,21915.6,25,9.8,,34069.9,Public,52075
187,Exelon,,Energy,Utilities: Gas and Electric,yes,31,yes,no,,no,yes,no,19962,37560,21727,13.9,2328,7.3,101546,Public,37560
188,KKR,,Financials,Securities,yes,308,yes,no,,no,no,no,4490,89013.9,21685.3,198.1,3732.3,,317294.2,Public,89014
189,CDW,,Technology,Information Technology Services,yes,-23,no,yes,,no,no,no,15100,34329.5,21376,-10,1104.3,-0.9,13284.6,Public,34330
190,Booking Holdings,,Technology,Internet Services and Retailing,yes,53,yes,no,,no,yes,no,23482,123968.4,21365,25,4289,40.3,24342,Public,123968
191,Synchrony,,Financials,Diversified Financials,yes,44,yes,no,,no,no,yes,20000,17543.1,20999,19.8,2238,-25.8,117479,Public,17543
192,Quanta Services,,Engineering & Construction,Engineering & Construction,yes,52,yes,no,,no,yes,no,52500,37865.6,20882.2,22.3,744.7,51.6,16237.2,Public,37866
193,Jones Lang LaSalle,,Financials,Real estate,yes,-3,no,yes,,no,yes,no,106100,9255.6,20760.8,-0.5,225.4,-65.6,16064.8,Public,9256
194,Discover Financial Services,,Financials,Commercial Banks,yes,79,yes,no,,no,no,yes,21100,32846.5,20606,35.5,2940,-33.1,151522,Public,32847
195,Tenet Healthcare,,Health Care,Health Care: Medical Facilities,yes,20,yes,no,,no,no,no,95905,10510.5,20548,7.2,611,48.7,28312,Public,10511
196,Altria Group,,"Food, Beverages & Tobacco",Tobacco,yes,-2,no,yes,,no,no,no,6400,76922.2,20502,-0.9,8130,41,38570,Public,76922
197,Stryker,,Health Care,Medical Products and Equipment,yes,27,yes,no,,no,yes,yes,52000,136158.7,20498,11.1,3165,34.2,39912,Public,136159
198,Kimberly-Clark,,Household Products,Household and Personal Products,yes,1,yes,no,,no,yes,no,41000,43579.9,20431,1.3,1764,-8.8,17344,Public,43580
199,Waste Management,,Business Services,Waste Management,yes,5,yes,no,,no,yes,no,48000,85600.6,20426,3.7,2304,2.9,32823,Public,85601
200,Cheniere Energy,,Energy,Pipelines,yes,-78,no,yes,,yes,no,no,1605,37851.2,20394,-39,9881,591.9,43076,Public,37851
201,Ross Stores,,Retailing,Specialty Retailers: Apparel,yes,22,yes,no,,no,no,no,108000,49409.1,20376.9,9,1874.5,24,14300.1,Public,49409
202,WestRock,,Materials,"Packaging, Containers",no,-19,no,yes,,no,no,no,56100,12707,20310,-4.5,-1649,-274.6,27443.7,Private,12707
203,General Mills,,"Food, Beverages & Tobacco",Food Consumer Products,yes,16,yes,no,,no,yes,no,34000,39501.5,20094.2,5.8,2593.9,-4.2,31451.7,Public,39502
204,Goodyear Tire & Rubber,,Motor Vehicles & Parts,Motor Vehicles & Parts,no,-13,no,yes,,no,no,no,71000,3901.3,20066,-3.6,-689,-441.1,21582,Public,3901
205,BJ's Wholesale Club,,Retailing,General Merchandisers,yes,5,yes,no,,no,no,no,34000,10058.5,19968.7,3.4,523.7,2.1,6677.6,Public,10059
206,GE HealthCare Technologies,,Health Care,Medical Products and Equipment,yes,0,no,no,,no,no,no,51000,41396.5,19552,,1568,,32454,Public,41397
207,Colgate-Palmolive,,Household Products,Household and Personal Products,yes,21,yes,no,,no,yes,no,34000,74019.9,19457,8.3,2300,28.9,16393,Public,74020
208,Whirlpool,,Industrials,"Electronics, Electrical Equip.",yes,-5,no,yes,,no,yes,no,59000,6515.3,19455,-1.4,481,,17312,Public,6515
209,L3Harris Technologies,,Aerospace & Defense,Aerospace & Defense,yes,37,yes,no,,no,no,no,50000,40508.1,19419,13.8,1227,15.5,41687,Public,40508
210,Adobe,,Technology,Computer Software,yes,23,yes,no,,no,yes,yes,29945,226060.8,19409,10.2,5428,14.1,29779,Public,226061
211,Becton Dickinson,,Health Care,Medical Products and Equipment,yes,-2,no,yes,,no,no,no,73000,71488.9,19372,-0.2,1484,-16.6,52780,Public,71489
212,Pioneer Natural Resources,,Energy,"Mining, Crude-Oil Production",yes,-48,no,yes,,no,no,no,2213,61326.1,19362,-20.3,4894,-37.6,36613,Private,61326
213,Cognizant Technology Solutions,,Technology,Information Technology Services,yes,-5,no,yes,,no,no,no,347700,36486.8,19353,-0.4,2126,-7.2,18483,Public,36487
214,Murphy USA,,Retailing,Specialty Retailers: Other,yes,-32,no,yes,,no,no,no,10750,8726.5,19238.2,-9.5,556.8,-17.3,4340.1,Public,8727
215,Fiserv,,Business Services,Financial Data Services,yes,15,yes,no,,no,yes,no,42000,94358.1,19093,7.6,3068,21.3,90890,Public,94358
216,Parker-Hannifin,,Industrials,Industrial Machinery,yes,45,yes,no,,no,no,no,62730,71369.5,19065.2,20.2,2082.9,58.3,29964.5,Public,71370
217,American Electric Power,,Energy,Utilities: Gas and Electric,yes,-12,no,yes,,no,no,no,17250,45339.4,18982.3,-3.3,2208.1,-4.3,96684,Public,45339
218,International Paper,,Materials,"Packaging, Containers",yes,-34,no,yes,,no,yes,no,39000,13514.7,18916,-10.6,288,-80.9,23261,Public,13515
219,ManpowerGroup,,Business Services,Temporary Help,yes,-17,no,yes,,no,no,no,27900,3756.3,18914.5,-4.6,88.8,-76.2,8830.2,Public,3756
220,Aramark,,Business Services,Diversified Outsourcing Services,yes,33,yes,no,,no,no,no,262550,8535,18853.9,15.5,674.1,246.6,16871.2,Public,8535
221,Steel Dynamics,,Materials,Metals,yes,-45,no,yes,,no,yes,no,12600,23412.5,18795.3,-15.6,2450.9,-36.5,14908.4,Public,23413
222,Aflac,,Financials,"Insurance: Life, Health (stock)",yes,-15,no,yes,,no,yes,no,12785,49404.5,18701,-4.1,4659,10.9,126724,Public,49405
223,Reinsurance Group of America,,Financials,"Insurance: Life, Health (stock)",yes,34,yes,no,,no,yes,no,3900,12683.2,18567,14.2,902,44.8,97623,Public,12683
224,Emerson Electric,,Industrials,Industrial Machinery,yes,-18,no,yes,,no,no,no,67000,64842.2,18370,-6.4,13219,309.1,42746,Public,64842
225,State Street,,Financials,Commercial Banks,yes,80,yes,no,,no,yes,no,46451,23346.3,18366,34.1,1944,-29.9,297258,Public,23346
226,PPG Industries,,Chemicals,Chemicals,yes,6,yes,no,,no,yes,no,53000,34103.8,18246,3.4,1270,23.8,21647,Public,34104
227,United States Steel,,Materials,Metals,yes,-41,no,yes,,no,no,no,21803,9168,18053,-14.3,895,-64.5,20451,Public,9168
228,Automatic Data Processing,,Business Services,Diversified Outsourcing Services,yes,23,yes,no,,no,yes,no,63000,102590.8,18012.2,9.2,3412,15.7,50971,Public,102591
229,Group 1 Automotive,,Retailing,"Automotive Retailing, Services",yes,23,yes,no,,no,no,no,16011,3999.4,17873.7,8.9,601.6,-19.9,7774.1,Public,3999
230,Dominion Energy,,Energy,Utilities: Gas and Electric,yes,12,yes,no,,no,no,no,17700,41201.2,17867,4,1994,100.6,109032,Public,41201
231,BlackRock,,Financials,Securities,yes,-2,no,yes,,no,yes,no,19800,124173.4,17859,-0.1,5502,6.3,123211,Public,124173
232,Oneok,,Energy,Pipelines,yes,-59,no,yes,,no,no,no,4775,46751.9,17677,-21,2659,54.4,44266,Public,46752
233,C.H. Robinson Worldwide,,Transportation,Transportation and Logistics,yes,-73,no,yes,,no,yes,no,15246,8907.9,17596.4,-28.7,325.1,-65.4,5225.3,Public,8908
234,Texas Instruments,,Technology,Semiconductors and Other Electronic Components,yes,-34,no,yes,,no,no,no,34000,158540.8,17519,-12.5,6510,-25.6,32348,Public,158541
235,Kohl's,,Retailing,General Merchandisers,yes,-9,no,yes,,no,yes,no,66000,3232.9,17476,-3.4,317,,14009,Public,3233
236,AutoZone,,Retailing,Specialty Retailers: Other,yes,22,yes,no,,no,yes,no,95200,54532.7,17457.2,7.4,2528.4,4.1,15985.9,Public,54533
237,Lam Research,,Technology,Semiconductors and Other Electronic Components,yes,3,yes,no,,no,yes,no,17200,127375.7,17428.5,1.2,4510.9,-2,18781.6,Public,127376
238,Corteva,,"Food, Beverages & Tobacco",Food Production,yes,0,no,no,,no,yes,no,22500,40304.4,17226,-1.3,735,-35.9,42996,Public,40304
239,Peter Kiewit Sons',,Engineering & Construction,Engineering & Construction,yes,68,yes,no,,no,no,no,31100,,17118,25.3,1176,65.6,9724,Private,
240,Builders FirstSource,,Materials,"Building Materials, Glass",yes,-68,no,yes,,no,no,no,29000,25430.6,17097.3,-24.8,1540.6,-44,10499.5,Public,25431
241,Kyndryl Holdings,,Technology,Information Technology Services,no,-16,no,yes,,no,no,no,90000,5007,17026,-7,-1374,,11464,Public,5007
242,EchoStar,,Telecommunications,Telecommunications,no,0,no,no,,no,no,no,15300,3869.1,17015.6,751.6,-1702.1,-1061.3,57108.9,Public,3869
243,American Family Insurance Group,,Financials,Insurance: Property and Casualty (Stock),no,58,yes,no,,no,no,no,12417,,16999.9,23.1,-891,,38023.5,Private,
244,Delek US Holdings,,Energy,Petroleum Refining,yes,-46,no,yes,,no,no,no,3591,1968,16917.4,-16.4,19.8,-92.3,7171.8,Public,1968
245,Land O'Lakes,,"Food, Beverages & Tobacco",Food Consumer Products,yes,-32,no,yes,,no,no,no,9000,,16794.9,-12.6,254.2,5.4,9464.3,Private,
246,Sempra,,Energy,Utilities: Gas and Electric,yes,39,yes,no,,no,yes,no,16835,45438.8,16720,15.8,3074,43.8,87181,Public,45439
247,Global Partners,,Wholesalers,Wholesalers: Diversified,yes,-27,no,yes,,no,yes,no,4273,1508.7,16492.2,-12.6,152.5,-57.9,3446,Public,1509
248,Grainger,,Wholesalers,Wholesalers: Diversified,yes,24,yes,no,,no,yes,yes,24650,49983.2,16478,8.2,1829,18.2,8147,Public,49983
249,Jacobs Solutions,,Business Services,Diversified Outsourcing Services,yes,28,yes,no,,no,no,no,58550,19316.3,16352.4,9.6,665.8,3.4,14617.1,Public,19316
250,Edison International,,Energy,Utilities: Gas and Electric,yes,-9,no,yes,,no,no,no,14346,27208.4,16338,-5.1,1197,95.6,81758,Public,27208
251,MGM Resorts International,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,64,yes,no,,no,no,no,67000,14966.3,16164.2,23.1,1142.2,-22.5,42368.5,Public,14966
252,Guardian Life Ins. Co. of America,,Financials,"Insurance: Life, Health (Mutual)",yes,29,yes,no,,no,no,no,7561,,16137,10.1,375,428.2,96202,Private,
253,Illinois Tool Works,,Industrials,Industrial Machinery,yes,7,yes,no,,no,yes,no,45000,80162.3,16107,1.1,2957,-2.5,15518,Public,80162
254,Ameriprise Financial,,Financials,Diversified Financials,yes,35,yes,no,,no,no,no,13800,43927.7,16096,12.2,2556,-0.1,175191,Public,43928
255,PulteGroup,,Engineering & Construction,Homebuilders,yes,4,yes,no,,no,yes,yes,6382,25449.4,16061.6,-1,2602.4,-0.6,16087.1,Public,25449
256,Targa Resources,,Energy,Pipelines,yes,-68,no,yes,,no,no,no,3182,24921.7,16060.3,-23.3,1345.9,12.6,20671.8,Public,24922
257,Ally Financial,,Financials,Diversified Financials,yes,81,yes,no,,no,no,yes,11100,12337.7,15971,30.9,1020,-40.5,196392,Public,12338
258,BorgWarner,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,4,yes,no,,no,yes,no,39900,8023.4,15921,0.8,625,-33.8,14453,Public,8023
259,Estée Lauder,,Household Products,Household and Personal Products,yes,-29,no,yes,,no,yes,no,53010,55258.7,15910,-10.3,1006,-57.9,23415,Public,55259
260,Loews,,Financials,Insurance: Property and Casualty (Stock),yes,37,yes,no,,no,no,no,12280,17396.1,15901,13.2,1434,41.7,79197,Public,17396
261,O'Reilly Automotive,,Retailing,Specialty Retailers: Other,yes,26,yes,no,,no,no,no,82958,66634.4,15812.3,9.7,2346.6,8,13873,Public,66634
262,Markel Group,,Financials,Insurance: Property and Casualty (Stock),yes,90,yes,no,,no,no,no,21600,19946.7,15803.6,35.4,1996.1,,55045.7,Public,19947
263,Stanley Black & Decker,,Household Products,"Home Equipment, Furnishings",no,-36,no,yes,,no,yes,no,50500,15062,15781.1,-12.3,-310.5,-129.2,23663.8,Public,15062
264,Micron Technology,,Technology,Semiconductors and Other Electronic Components,no,-128,no,yes,,no,no,no,43000,130547.6,15540,-49.5,-5833,-167.1,64254,Public,130548
265,Fluor,,Engineering & Construction,Engineering & Construction,yes,38,yes,no,,no,no,no,30187,7192.3,15474,12.6,139,-4.1,6973,Public,7192
266,Leidos Holdings,,Technology,Information Technology Services,yes,22,yes,no,,no,no,no,47000,17700.6,15438,7.2,199,-70.9,12695,Public,17701
267,Viatris,,Health Care,Pharmaceuticals,yes,-11,no,yes,,no,no,no,38000,14179.6,15426.9,-5.1,54.7,-97.4,47685.5,Public,14180
268,Kinder Morgan,,Energy,Pipelines,yes,-54,no,yes,,no,no,no,10891,40703.3,15334,-20.1,2391,-6.2,71020,Public,40703
269,Ecolab,,Chemicals,Chemicals,yes,24,yes,no,,no,yes,no,48000,66017.1,15320.2,8,1372.3,25.7,21846.6,Public,66017
270,Baxter International,,Health Care,Medical Products and Equipment,yes,4,yes,no,,no,no,no,60000,21704.5,15282,1.1,2656,,28276,Public,21705
271,Devon Energy,,Energy,"Mining, Crude-Oil Production",yes,-55,no,yes,,no,no,no,1900,31864.3,15258,-20.4,3747,-37.7,24490,Public,31864
272,Kellanova,,"Food, Beverages & Tobacco",Food Consumer Products,yes,-2,no,yes,,no,no,no,23000,19579.4,15207,-0.7,951,-0.9,15621,Public,19579
273,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),no,22,yes,no,,no,no,no,9685,,15194.4,7.8,-652.9,,23677.7,Private,
274,Casey's General Stores,,Retailing,Specialty Retailers: Other,yes,42,yes,no,,no,no,no,31637,11788.1,15094.5,16.5,446.7,31.5,5943.3,Public,11788
275,IQVIA Holdings,,Health Care,Health Care: Pharmacy and Other Services,yes,11,yes,no,,no,yes,no,87000,46029.4,14984,4,1358,24.5,26681,Public,46029
276,Republic Services,,Business Services,Waste Management,yes,33,yes,no,,no,yes,no,41000,60229,14964.5,10.8,1731,16.4,31410.1,Public,60229
277,Fox,,Media,Entertainment,yes,23,yes,no,,no,no,no,10400,14225.1,14913,6.7,1239,2.8,21866,Public,14225
278,Gap,,Retailing,Specialty Retailers: Apparel,yes,-13,no,yes,,no,no,no,85000,10290.3,14889,-4.7,502,,11044,Public,10290
279,Keurig Dr Pepper,,"Food, Beverages & Tobacco",Beverages,yes,17,yes,no,,no,yes,no,28100,42557.4,14814,5.4,2181,51.9,52130,Public,42557
280,Reliance,,Materials,Metals,yes,-33,no,yes,,no,yes,no,15250,19190.4,14805.9,-13,1335.9,-27.4,10480.3,Public,19190
281,Asbury Automotive Group,,Retailing,"Automotive Retailing, Services",yes,-13,no,yes,,no,no,no,15000,4810.9,14802.7,-4.1,602.5,-39.6,10159.4,Public,4811
282,Pacific Life,,Financials,"Insurance: Life, Health (stock)",yes,30,yes,no,,no,no,no,4181,,14802,10.8,875,14.7,217386,Private,
283,Vistra,,Energy,Energy,yes,21,yes,no,,no,no,no,4870,24230.2,14779,7.7,1493,,32966,Public,24230
284,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",yes,30,yes,no,,no,no,no,2669,,14775.1,12.3,484.8,56.8,75968.9,Private,
285,Andersons,,"Food, Beverages & Tobacco",Food Production,yes,-46,no,yes,,no,no,no,2297,1953.4,14750.1,-15,101.2,-22.8,3855,Public,1953
286,Nordstrom,,Retailing,General Merchandisers,yes,-19,no,yes,,no,yes,no,54000,3309.2,14693,-5.4,134,-45.3,8444,Public,3309
287,Omnicom Group,,Business Services,"Advertising, marketing",yes,3,yes,no,,no,no,no,75900,19081.1,14692.2,2.8,1391.4,5.7,28044.6,Public,19081
288,Fidelity National Information Services,,Business Services,Financial Data Services,no,-5,no,yes,,no,no,no,60000,42762.2,14680,1,-6654,,55105,Public,42762
289,Consolidated Edison,,Energy,Utilities: Gas and Electric,yes,-25,no,yes,,no,no,no,14592,31375.8,14663,-6.4,2519,51.7,66331,Public,31376
290,CSX,,Transportation,Railroads,yes,-11,no,yes,,no,yes,no,23232,72568,14657,-1.3,3715,-10.8,42408,Public,72568
291,AECOM,,Engineering & Construction,Engineering & Construction,yes,19,yes,no,,no,yes,no,52000,13341.2,14591.3,8.1,55.3,-82.2,11233.4,Public,13341
292,Lumen Technologies,,Telecommunications,Telecommunications,no,-55,no,yes,,no,no,no,28000,1585,14557,-16.7,-10298,,34018,Public,1585
293,Tractor Supply,,Retailing,Specialty Retailers: Other,yes,-2,no,yes,,no,no,no,37500,28248,14555.7,2.5,1107.2,1.7,9188.2,Public,28248
294,DXC Technology,,Technology,Information Technology Services,no,-39,no,yes,,no,no,no,130000,3878.7,14430,-11.3,-568,-179.1,15845,Public,3879
295,AGCO,,Industrials,Construction and Farm Machinery,yes,29,yes,no,,no,yes,no,27900,9179.5,14412.4,13.9,1171.4,31.7,11421.2,Public,9180
296,Sonic Automotive,,Retailing,"Automotive Retailing, Services",yes,3,yes,no,,no,no,no,10500,1941.7,14372.4,2.7,178.2,101.4,5364.6,Public,1942
297,Intuit,,Technology,Computer Software,yes,24,yes,no,,no,yes,yes,22900,181986.4,14368,12.9,2384,15.4,27780,Public,181986
298,United Rentals,,Business Services,Equipment Leasing,yes,57,yes,no,,no,no,no,26300,48437.2,14332,23.1,2424,15.2,25589,Public,48437
299,Universal Health Services,,Health Care,Health Care: Medical Facilities,yes,12,yes,no,,no,yes,no,85025,12265.2,14282,6.6,717.8,6.2,13967.6,Public,12265
300,Boston Scientific,,Health Care,Medical Products and Equipment,yes,23,yes,no,,no,yes,no,48000,100673.1,14240,12.3,1592,128.1,35136,Public,100673
301,Otis Worldwide,,Industrials,Industrial Machinery,yes,5,yes,no,,no,yes,no,71000,40249.5,14209,3.8,1406,12.2,10117,Public,40250
302,Xcel Energy,,Energy,Utilities: Gas and Electric,yes,-31,no,yes,,no,yes,no,11311,29839.6,14206,-7.2,1771,2,64079,Public,29840
303,Edward Jones,,Financials,Securities,yes,30,yes,no,,no,yes,yes,54000,,14080,13.4,1612,14.8,28003,Private,
304,Ball,,Materials,"Packaging, Containers",yes,-35,no,yes,,no,yes,no,21000,21206.3,14029,-8.6,707,-1.7,19303,Public,21206
305,LKQ,,Wholesalers,Wholesalers: Diversified,yes,14,yes,no,,no,no,no,49000,14248.5,13866,8.4,936,-18.5,15079,Public,14249
306,Mutual of Omaha,,Financials,"Insurance: Life, Health (Mutual)",yes,22,yes,no,,no,no,no,6231,,13855.8,10.6,47.7,,51838.6,Private,
307,Mosaic,,Chemicals,Chemicals,yes,-90,no,yes,,no,no,no,14049,10442,13696.1,-28.4,1164.9,-67.5,23032.8,Public,10442
308,Textron,,Aerospace & Defense,Aerospace & Defense,yes,10,yes,no,,no,yes,no,35000,18500.5,13683,6.3,921,7,16856,Public,18501
309,Labcorp Holdings,,Health Care,Health Care: Pharmacy and Other Services,yes,-31,no,yes,,no,yes,no,61975,18372.5,13668.2,-8.1,418,-67.3,16725.1,Public,18373
310,Principal Financial,,Financials,"Insurance: Life, Health (stock)",yes,-74,no,yes,,no,no,no,19800,20357.8,13665.8,-21.9,623.2,-87,305046.7,Public,20358
311,Regeneron Pharmaceuticals,,Health Care,Pharmaceuticals,yes,28,yes,no,,no,no,no,13450,105644.7,13117.2,7.8,3953.6,-8.9,33080.2,Public,105645
312,Raymond James Financial,,Financials,Securities,yes,51,yes,no,,no,yes,no,18000,26843.3,12992,14.9,1739,15.2,78360,Public,26843
313,Dick's Sporting Goods,,Retailing,Specialty Retailers: Other,yes,21,yes,no,,no,no,no,37200,18539.3,12984.4,5,1046.5,0.3,9311.8,Public,18539
314,Auto-Owners Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,48,yes,no,,no,no,no,6946,,12937.7,13.4,-912.4,,36238.2,Private,
315,Expedia Group,,Retailing,Internet Services and Retailing,yes,38,yes,no,,no,no,no,17100,18773.7,12839,10,797,126.4,21642,Public,18774
316,J.B. Hunt Transport Services,,Transportation,"Trucking, Truck Leasing",yes,-36,no,yes,,no,yes,no,34718,20582.2,12829.7,-13.4,728.3,-24.9,8538.3,Public,20582
317,M&T Bank,,Financials,Commercial Banks,yes,122,yes,no,,no,no,no,21980,24233.4,12752,48.2,2741,37.6,208264,Public,24233
318,DTE Energy,,Energy,Utilities: Gas and Electric,yes,-106,no,yes,,no,yes,no,9950,23204.6,12745,-33.7,1397,29,44755,Public,23205
319,AES,,Energy,Utilities: Gas and Electric,yes,8,yes,no,,no,yes,no,9600,12744.8,12668,0.4,249,,44799,Public,12745
320,Berry Global Group,,Materials,"Packaging, Containers",yes,-36,no,yes,,no,no,no,44000,7009.6,12664,-12.6,609,-20.5,16587,Public,7010
321,Fifth Third Bancorp,,Financials,Commercial Banks,yes,90,yes,no,,no,yes,no,18724,25434.9,12641,35.2,2349,-4,214574,Public,25435
322,Air Products & Chemicals,,Chemicals,Chemicals,yes,0,no,no,,no,no,no,21850,53856.9,12600,-0.8,2300.2,2,32002.5,Public,53857
323,Corning,,Industrials,"Electronics, Electrical Equip.",yes,-31,no,yes,,no,no,no,49800,28192.4,12588,-11.3,581,-55.9,28500,Public,28192
324,EMCOR Group,,Engineering & Construction,Engineering & Construction,yes,45,yes,no,,no,yes,no,38300,16482.1,12582.9,13.6,633,55.9,6609.7,Public,16482
325,Amphenol,,Technology,Network and Other Communications Equipment,yes,1,yes,no,,no,yes,no,95000,69193.3,12554.7,-0.5,1928,1.4,16526.4,Public,69193
326,Westlake,,Chemicals,Chemicals,yes,-63,no,yes,,no,no,no,15520,19636.5,12548,-20.6,479,-78.7,21035,Public,19637
327,DuPont,,Chemicals,Chemicals,yes,-77,no,yes,,no,no,no,24000,32016.1,12528,-24.3,423,-92.8,38552,Public,32016
328,Liberty Media,,Media,Entertainment,yes,12,yes,no,,no,yes,no,6486,9699.7,12525,3,761,-58.1,41168,Public,9700
329,S&P Global,,Business Services,Financial Data Services,yes,37,yes,no,,no,yes,no,40450,136253.3,12497,11.8,2626,-19.2,60589,Public,136253
330,Community Health Systems,,Health Care,Health Care: Medical Facilities,no,7,yes,no,,no,no,no,54500,486.4,12490,2.3,-133,-389.1,14455,Public,486
331,FirstEnergy,,Energy,Utilities: Gas and Electric,yes,12,yes,no,,no,no,no,12042,22226.4,12450,3.3,1102,171.4,48767,Public,22226
332,Unum Group,,Financials,"Insurance: Life, Health (stock)",yes,15,yes,no,,no,no,no,10683,10298.6,12385.9,3.3,1283.8,-2.3,63255.2,Public,10299
333,Henry Schein,,Health Care,Wholesalers: Health Care,yes,-8,no,yes,,no,no,no,25000,9704.8,12339,-2.4,416,-22.7,10573,Public,9705
334,Western Digital,,Technology,"Computers, Office Equipment",no,-113,no,yes,,no,yes,no,53000,22278.8,12318,-34.5,-1706,-213.7,24429,Public,22279
335,Analog Devices,,Technology,Semiconductors and Other Electronic Components,yes,9,yes,no,,no,no,no,26000,98085.7,12305.5,2.4,3314.6,20.6,48794.5,Public,98086
336,Conagra Brands,,"Food, Beverages & Tobacco",Food Consumer Products,yes,24,yes,no,,no,no,no,18600,14168.1,12277,6.4,683.6,-23,22052.6,Public,14168
337,Citizens Financial Group,,Financials,Commercial Banks,yes,82,yes,no,,no,yes,no,17570,16635.3,12187,34.4,1608,-22.4,221964,Public,16635
338,Norfolk Southern,,Transportation,Railroads,yes,-18,no,yes,,no,no,no,20700,57570.4,12156,-4.6,1827,-44.1,41652,Public,57570
339,Entergy,,Energy,Utilities: Gas and Electric,yes,-37,no,yes,,no,no,no,12177,22535.5,12147.4,-11.7,2356.5,113.6,59703.4,Public,22536
340,W.R. Berkley,,Financials,Insurance: Property and Casualty (Stock),yes,27,yes,no,,no,no,no,8329,22689.2,12142.9,8.7,1381.4,,37202,Public,22689
341,DaVita,,Health Care,Health Care: Medical Facilities,yes,16,yes,no,,no,yes,no,70000,12107,12140.1,4.6,691.5,23.4,16893.6,Public,12107
342,Northern Trust,,Financials,Commercial Banks,yes,135,yes,no,,no,yes,no,23100,18141.4,12116.5,56.3,1107.3,-17.1,150783.1,Public,18141
343,Hormel Foods,,"Food, Beverages & Tobacco",Food Consumer Products,yes,-13,no,yes,,no,yes,no,20000,19108.8,12110,-2.8,793.6,-20.6,13448.8,Public,19109
