Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
40,Tesla,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,10,yes,no,,yes,no,no,140473,559854.3,96773,18.8,14997,19.4,106618,Public,805719
41,Morgan Stanley,,Financials,Commercial Banks,yes,20,yes,no,,yes,yes,no,80006,153976.9,96194,45.9,9087,-17.6,1193693,Public,171065
42,Johnson & Johnson,,Health Care,Pharmaceuticals,yes,-2,no,yes,,yes,yes,no,131900,381203.6,95195,0.3,35153,95.9,167558,Public,359173
43,Archer Daniels Midland,,"Food, Beverages & Tobacco",Food Production,yes,-8,no,yes,,yes,yes,no,41008,32023.6,93935,-7.5,3483,-19.7,54631,Public,31347
44,PepsiCo,,"Food, Beverages & Tobacco",Food Consumer Products,yes,2,yes,no,,yes,yes,no,318000,240552.8,91471,5.9,9074,1.8,100495,Public,225074
45,United Parcel Service,,Transportation,"Mail, Package, and Freight Delivery",yes,-8,no,yes,,yes,yes,no,382550,126828.9,90958,-9.3,6708,-41.9,70857,Public,123329
46,FedEx,,Transportation,"Mail, Package, and Freight Delivery",yes,-5,no,yes,,yes,yes,no,446400,71299.4,90155,-3.6,3972,3.8,87143,Public,74517
47,Walt Disney,,Media,Entertainment,yes,1,yes,no,,yes,yes,no,199125,224445.2,88898,7.5,2354,-25.2,205579,Public,176598
48,Dell Technologies,,Technology,"Computers, Office Equipment",yes,-14,no,yes,,yes,yes,no,120000,81450.6,88425,-13.6,3211,31.5,82089,Public,97331
49,Lowe's,,Retailing,Specialty Retailers: Other,yes,-10,no,yes,,yes,yes,no,226000,145752.5,86377,-11,7726,20,41795,Public,132299
50,Procter & Gamble,,Household Products,Household and Personal Products,yes,1,yes,no,,yes,yes,no,107000,381777.7,82006,2.3,14653,-0.6,120829,Public,388431
51,Energy Transfer,,Energy,Pipelines,yes,-8,no,yes,,yes,no,no,13786,52974.8,78586,-12.6,3935,-17.3,113698,Public,55235
52,Boeing,,Aerospace & Defense,Aerospace & Defense,no,6,yes,no,,yes,yes,no,171000,117750,77794,16.8,-2222,,137012,Public,109953
53,Albertsons,,Food & Drug Stores,Food & Drug Stores,yes,0,no,no,,yes,no,no,198650,12350.3,77649.7,8,1513.5,-6.6,26168.2,Public,11333
54,Sysco,,Wholesalers,Wholesalers: Food and Grocery,yes,2,yes,no,,yes,no,no,71750,40413.8,76324.7,11.2,1770.1,30.3,22821.1,Public,35755
55,RTX,,Aerospace & Defense,Aerospace & Defense,yes,2,yes,no,,yes,yes,no,185000,129680.3,68920,2.8,3195,-38.5,161869,Public,135104
56,General Electric,,Industrials,Industrial Machinery,yes,-4,no,yes,,yes,no,no,125000,191901.2,67954,-11.2,9481,4113.8,163045,Public,174655
57,Lockheed Martin,,Aerospace & Defense,Aerospace & Defense,yes,3,yes,no,,yes,yes,no,122000,109394.2,67571,2.4,6920,20.7,52456,Public,111303
58,American Express,,Financials,Diversified Financials,yes,19,yes,no,,yes,yes,yes,74600,163945.6,67364,21.1,8374,11.4,261108,Public,175510
59,Caterpillar,,Industrials,Construction and Farm Machinery,yes,9,yes,no,,yes,yes,no,113200,182986.8,67060,12.8,10335,54.1,87476,Public,169100
60,MetLife,,Financials,"Insurance: Life, Health (stock)",yes,-6,no,yes,,yes,yes,yes,45000,53583,66905,-4.3,1578,-37.8,687584,Public,52929
61,HCA Healthcare,,Health Care,Health Care: Medical Facilities,yes,5,yes,no,,yes,yes,no,265000,88213.8,64968,7.9,5242,-7.1,56211,Public,83022
62,Progressive,,Financials,Insurance: Property and Casualty (Stock),yes,26,yes,no,,yes,yes,yes,61432,121134.1,62108.5,25.2,3902.4,440.9,88690.8,Public,127155
63,IBM,,Technology,Information Technology Services,yes,2,yes,no,,yes,yes,no,296600,175061.6,61860,2.2,7502,357.7,135241,Public,167994
64,Deere,,Industrials,Construction and Farm Machinery,yes,17,yes,no,,yes,yes,no,82956,114332.9,61251,16.5,10166,42.6,104087,Public,102421
65,Nvidia,,Technology,Semiconductors and Other Electronic Components,yes,87,yes,no,,no,yes,yes,29600,2258900,60922,125.9,29760,581.3,65728,Public,3159624
66,StoneX Group,,Financials,Diversified Financials,yes,-7,no,yes,,yes,no,no,4137,2216.7,60856.1,-7.8,238.5,15.2,21938.7,Public,2516
67,Merck,,Health Care,Pharmaceuticals,yes,2,yes,no,,yes,yes,yes,71000,334182.4,60115,1.4,365,-97.5,106675,Public,324503
68,ConocoPhillips,,Energy,"Mining, Crude-Oil Production",yes,-19,no,yes,,yes,no,no,9900,149733.3,58574,-28.7,10957,-41.3,95924,Public,133994
69,Pfizer,,Health Care,Pharmaceuticals,yes,-31,no,yes,,yes,yes,no,88000,157135.5,58496,-41.7,2119,-93.2,226501,Public,164898
70,Delta Air Lines,,Transportation,Airlines,yes,15,yes,no,,yes,yes,yes,103000,30795.9,58048,14.8,4609,249.7,73644,Public,27753
71,TD Synnex,,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,-7,no,yes,,yes,yes,no,28000,9856.6,57555.4,-7.7,626.9,-3.7,29412.8,Public,9836
72,Publix Super Markets,,Food & Drug Stores,Food & Drug Stores,yes,6,yes,no,,yes,yes,yes,253000,,57534,4.7,4349,49,34384,Private,
73,Allstate,,Financials,Insurance: Property and Casualty (Stock),no,11,yes,no,,yes,yes,no,53200,45513.3,57094,11.1,-188,,103362,Public,44050
74,Cisco Systems,,Technology,Network and Other Communications Equipment,yes,8,yes,no,,yes,no,yes,84900,202094.9,56998,10.6,12613,6.8,101852,Public,191932
75,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),no,8,yes,no,,yes,no,yes,24118,,54609.4,6.1,-45.2,-104.6,290615,Private,
76,Charter Communications,,Telecommunications,Telecommunications,yes,3,yes,no,,yes,no,no,101100,51316,54607,1.1,4557,-9.9,147193,Public,52350
77,AbbVie,,Health Care,Pharmaceuticals,yes,-4,no,yes,,yes,yes,yes,50000,322434.8,54318,-6.4,4863,-58.9,134711,Public,296719
78,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",yes,-7,no,yes,,yes,yes,no,15384,,54317.2,-7.1,804.6,,408904.9,Private,
79,Intel,,Technology,Semiconductors and Other Electronic Components,yes,-17,no,yes,,yes,no,no,124800,188026,54228,-14,1689,-78.9,191572,Public,146692
80,TJX,,Retailing,Specialty Retailers: Apparel,yes,7,yes,no,,yes,yes,no,349000,115586,54217,8.6,4474,27.9,29747,Public,128622
81,Prudential Financial,,Financials,"Insurance: Life, Health (stock)",yes,-14,no,yes,,yes,yes,no,40366,42191.2,53979,-10.1,2488,,721123,Public,45069
82,HP,,Technology,"Computers, Office Equipment",yes,-19,no,yes,,yes,yes,yes,58000,29569.7,53718,-14.6,3263,4.2,37004,Public,36539
83,United Airlines Holdings,,Transportation,Airlines,yes,13,yes,no,,yes,yes,no,103300,15705.9,53717,19.5,2618,255.2,71104,Public,14573
84,Performance Food Group,,Wholesalers,Wholesalers: Food and Grocery,yes,7,yes,no,,yes,no,no,34825,11612.9,53354.7,13.1,397.2,253.1,12499,Public,9951
85,Tyson Foods,,"Food, Beverages & Tobacco",Food Production,no,-5,no,yes,,yes,no,no,139000,20928.3,52881,-0.8,-648,-120,36251,Public,20461
86,American Airlines Group,,Transportation,Airlines,yes,3,yes,no,,yes,no,no,132100,10050.5,52788,7.8,822,547.2,63058,Public,6947
87,Liberty Mutual Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,-1,no,yes,,yes,no,no,45000,,52612,5.3,213,-48.6,165208,Private,
88,Nike,,Apparel,Apparel,yes,5,yes,no,,yes,yes,no,83700,142391.2,51217,9.6,5070,-16.1,37531,Public,107632
89,Oracle,,Technology,Computer Software,yes,12,yes,no,,yes,yes,no,164000,345240.8,49954,17.7,8503,26.6,134384,Public,394281
90,Enterprise Products Partners,,Energy,Pipelines,yes,-18,no,yes,,yes,no,no,7500,63269.4,49715,-14.6,5532,0.8,70982,Public,64278
91,Capital One Financial,,Financials,Commercial Banks,yes,15,yes,no,,yes,yes,yes,51987,56891.2,49484,29,4887,-33.6,478464,Public,55230
